Ticket_ID,Created_Date,Resolution_Date,Status,Priority,Ticket_Type,Category,Country,Cluster_ID,Cluster_Name,Similarity_Score,Similarity_Level,First_Response_Date,Assigned_Agent,Team,SLA_Status,Reopened,Resolution_Code,Department,Customer_ID,Channel,Description,Tags,Product,Customer_Satisfaction,Escalation_Level,Region,Device_Type,Operating_System,Resolution_Notes
TKT000001,2026-05-20,2026-05-23 17:20:00,Open,Critical,Incident,Software,Germany,CL001,Network,0.58,Low,2026-05-20 02:20:00,Agent_012,Security,Met,Yes,Fixed,HR,CUST94509,Portal,User reported an issue.,vpn,Office365,1,L1,APAC,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000002,2026-05-02,2026-05-06 09:33:00,Closed,High,Request,Network,India,CL002,Login,0.54,Low,2026-05-02 01:33:00,Agent_055,L2,Met,No,Fixed,HR,CUST22691,Chat,User reported an issue.,network,ERP,2,L2,EMEA,Laptop,Windows 11,Resolved after troubleshooting.
TKT000003,2025-05-30,2025-05-30 15:56:00,Open,Medium,Request,Email,USA,CL003,Software,0.73,Medium,2025-05-30 01:56:00,Agent_100,L2,Met,Yes,Escalated,Finance,CUST68147,Chat,User reported an issue.,network,ERP,2,L2,EMEA,Desktop,macOS,Resolved after troubleshooting.
TKT000004,2025-08-23,2025-08-25 02:12:00,Closed,High,Problem,Security,Germany,CL001,Software,0.89,High,2025-08-23 00:12:00,Agent_089,L1,Breached,No,Fixed,HR,CUST84287,Chat,User reported an issue.,vpn,Office365,2,L3,EMEA,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000005,2025-03-26,2025-03-30 09:31:00,Resolved,Critical,Problem,Security,Canada,CL001,Login,0.77,Medium,2025-03-26 00:31:00,Agent_037,Security,Breached,No,Escalated,HR,CUST23401,Phone,User reported an issue.,vpn,ERP,2,L3,NA,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000006,2025-12-18,2025-12-20 16:26:00,Closed,Medium,Request,Network,India,CL002,Login,0.83,Medium,2025-12-18 02:26:00,Agent_091,L2,Breached,No,Configured,IT,CUST54237,Chat,User reported an issue.,email,Office365,5,L2,NA,Laptop,Windows 11,Resolved after troubleshooting.
TKT000007,2025-12-25,2025-12-27 00:30:00,In Progress,Low,Request,Network,UK,CL003,Network,0.64,Low,2025-12-25 01:30:00,Agent_080,L1,Met,No,Escalated,IT,CUST96491,Chat,User reported an issue.,network,VPN,1,L2,EMEA,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000008,2025-08-25,2025-08-29 23:11:00,Resolved,High,Problem,Security,USA,CL002,Network,0.74,Medium,2025-08-25 02:11:00,Agent_051,L1,Met,Yes,Escalated,Finance,CUST84176,Email,User reported an issue.,vpn,Office365,3,L1,EMEA,Desktop,macOS,Resolved after troubleshooting.
TKT000009,2026-05-14,2026-05-16 21:30:00,Open,Low,Incident,Network,USA,CL001,Network,0.77,Medium,2026-05-14 01:30:00,Agent_033,L1,Met,Yes,Configured,IT,CUST24741,Portal,User reported an issue.,network,VPN,2,L1,EMEA,Laptop,macOS,Resolved after troubleshooting.
TKT000010,2026-03-08,2026-03-08 12:59:00,Closed,Medium,Incident,Hardware,USA,CL002,Login,0.64,Low,2026-03-08 02:59:00,Agent_007,L2,Met,Yes,Configured,IT,CUST62633,Phone,User reported an issue.,vpn,Office365,5,L1,APAC,Desktop,Windows 11,Resolved after troubleshooting.
TKT000011,2026-01-03,2026-01-05 08:47:00,In Progress,Critical,Incident,Hardware,USA,CL002,Network,0.57,Low,2026-01-03 01:47:00,Agent_085,Security,Met,Yes,Configured,Finance,CUST60691,Email,User reported an issue.,network,Office365,5,L2,NA,Mobile,Windows 11,Resolved after troubleshooting.
TKT000012,2026-05-18,2026-05-20 20:04:00,In Progress,Low,Problem,Software,UK,CL003,Login,0.61,Low,2026-05-18 02:04:00,Agent_069,L2,Breached,Yes,Escalated,Finance,CUST24419,Phone,User reported an issue.,email,ERP,1,L2,APAC,Desktop,macOS,Resolved after troubleshooting.
TKT000013,2025-11-03,2025-11-06 03:24:00,Open,High,Problem,Network,USA,CL002,Login,0.99,High,2025-11-03 02:24:00,Agent_066,Security,Breached,Yes,Escalated,IT,CUST97782,Portal,User reported an issue.,email,Office365,1,L2,APAC,Desktop,macOS,Resolved after troubleshooting.
TKT000014,2026-06-06,2026-06-08 14:39:00,Resolved,High,Request,Email,India,CL003,Network,0.65,Low,2026-06-06 02:39:00,Agent_077,L1,Met,No,Fixed,HR,CUST96235,Phone,User reported an issue.,network,Office365,4,L3,NA,Desktop,macOS,Resolved after troubleshooting.
