Ticket_ID,Created_Date,Resolution_Date,Status,Priority,Ticket_Type,Category,Country,Region,Latitude,Longitude,Cluster_ID,Cluster_Name,Similarity_Score,Similarity_Level,First_Response_Date,Assigned_Agent,Team,SLA_Status,Reopened,Resolution_Code,Department,Customer_ID,Channel,Description,Tags,Product,Customer_Satisfaction,Escalation_Level,Device_Type,Operating_System,Resolution_Notes,Resolution_Duration,Priority_Score,First_Response_Time,Queue
TCK-00001,2025-05-30 20:01:00,2025-06-05 08:01:05,Resolved,Medium,Change,Network,India,APAC,21.0833,77.2401,2,Network Connectivity Issues,0.736,Medium,2025-05-31 15:32:13,Agent_002,Network Team,Breached,No,Workaround Applied,Operations,CUST-4385,Portal,Connectivity issue reported affecting access to VPN Client.,"on-prem, vip-customer",VPN Client,,0,Desktop,Windows,Issue resolved via workaround applied.,5.0,2,19.52027777777778,Network Support
TCK-00002,2025-09-01 02:36:00,2025-09-04 13:18:55,Closed,Low,Change,Bug,Brazil,AMER,-16.287,-51.3381,5,Application Crashes / Bugs,0.655,Medium,2025-09-01 15:55:07,Agent_003,App Support,Within SLA,No,Fixed,Finance,CUST-3612,Phone,Application error / unexpected behavior encountered while using VPN Client.,"on-prem, outage, data-loss",VPN Client,,0,Desktop,Windows,Issue resolved via fixed.,3.0,1,13.31861111111111,Application Support
TCK-00003,2025-09-17 21:28:00,2025-09-20 23:18:21,Closed,Medium,Problem,Integration,Canada,AMER,55.5853,-107.9388,10,Data Sync / Integration Delays,0.74,Medium,2025-09-18 06:34:30,Agent_029,App Support,Within SLA,No,Fixed,Operations,CUST-5911,Portal,User reported failure syncing data between Cloud Storage and third-party API.,firewall,Cloud Storage,,3,Server,Windows Server,Issue resolved via fixed.,3.0,2,9.108333333333333,Network Support
TCK-00004,2025-02-10 14:44:00,2025-02-13 05:15:04,Closed,Medium,Incident,Performance,Japan,APAC,35.4838,137.1547,7,Performance Degradation,0.972,High,2025-02-10 20:03:21,Agent_014,Infrastructure Team,Within SLA,No,Fixed,Marketing,CUST-4561,Portal,User reported significant slowdown while using ERP Suite.,"license, on-prem, firewall",ERP Suite,,0,Server,Linux,Issue resolved via fixed.,2.0,2,5.3225,Service Desk
TCK-00005,2025-02-04 00:34:00,2025-02-06 14:22:02,Closed,High,Incident,Software,USA,AMER,36.4441,-94.8658,9,Software Installation Issues,0.694,Medium,2025-02-04 01:54:08,Agent_030,App Support,Breached,Yes,No Fix Needed,HR,CUST-1870,Portal,Installation or update issue reported for ERP Suite.,"license, outage, vip-customer",ERP Suite,,0,Tablet,Android,Issue resolved via no fix needed.,2.0,3,1.3355555555555556,Application Support
TCK-00006,2025-08-25 14:42:00,2025-09-08 12:26:46,Resolved,Low,Request,Integration,UK,EMEA,55.4229,-1.4022,3,API Integration Errors,0.667,Medium,2025-08-25 15:41:30,Agent_015,App Support,Breached,No,Fixed,Operations,CUST-4627,Portal,User reported failure syncing data between VPN Client and third-party API.,"firewall, third-party",VPN Client,,2,Laptop,macOS,Issue resolved via fixed.,13.0,1,0.9916666666666667,Access Management
TCK-00007,2025-07-17 07:26:00,2025-07-20 23:26:41,Resolved,Low,Incident,Access Management,China,APAC,34.7207,104.9385,1,Login & Access Failures,0.472,Medium,2025-07-17 10:49:42,Agent_011,Helpdesk,Within SLA,No,Duplicate,Marketing,CUST-4445,Chat,User unable to access VPN Client due to permission/role issue.,"migration, password-reset",VPN Client,,0,Mobile,iOS,Issue resolved via duplicate.,3.0,1,3.395,Application Support
TCK-00008,2025-04-23 01:01:00,2025-04-23 18:38:49,Closed,Critical,Incident,Access Management,France,EMEA,45.2344,1.1342,1,Login & Access Failures,0.681,Medium,2025-04-23 01:29:42,Agent_030,Security Team,Within SLA,No,Duplicate,Legal,CUST-2733,Phone,User unable to access Mobile App due to permission/role issue.,"recurring, password-reset, on-prem",Mobile App,,1,Desktop,Linux,Issue resolved via duplicate.,0.0,4,0.47833333333333333,Network Support
TCK-00009,2025-07-20 05:15:00,2025-07-25 03:01:09,Closed,Medium,Incident,Bug,Japan,APAC,36.0515,140.6671,5,Application Crashes / Bugs,0.741,Medium,2025-07-20 05:25:00,Agent_026,App Support,Breached,No,Fixed,Operations,CUST-1146,Portal,Application error / unexpected behavior encountered while using VPN Client.,"timeout, outage, mobile",VPN Client,,1,Tablet,Windows,Issue resolved via fixed.,4.0,2,0.16666666666666666,Hardware Support
TCK-00010,2025-12-12 15:56:00,2025-12-16 14:26:04,Closed,Medium,Incident,Software,China,APAC,37.7467,102.9897,9,Software Installation Issues,0.622,Medium,2025-12-12 16:52:11,Agent_030,Helpdesk,Within SLA,No,Duplicate,Sales,CUST-2682,Email,Installation or update issue reported for Cloud Storage.,"data-loss, config-error",Cloud Storage,,0,Desktop,Linux,Issue resolved via duplicate.,3.0,2,0.9363888888888889,Network Support
TCK-00011,2025-12-04 01:53:00,,Open,High,Request,Integration,UK,EMEA,57.5807,-1.0717,3,API Integration Errors,0.737,Medium,2025-12-04 02:16:43,Agent_015,Cloud Ops,Breached,No,Pending,Sales,CUST-2218,Phone,User reported failure syncing data between Mobile App and third-party API.,recurring,Mobile App,0,1,Server,Linux,No Resolution Yet,,3,0.3952777777777778,Security Operations
TCK-00012,2025-02-20 21:07:00,2025-02-27 17:30:06,Closed,Medium,Request,Software,India,APAC,19.3423,79.4094,15,Patch & Update Failures,0.99,High,2025-02-20 22:05:07,Agent_010,App Support,Breached,No,User Error,Sales,CUST-5754,Portal,Installation or update issue reported for Billing System.,config-error,Billing System,,1,Tablet,iOS,Issue resolved via user error.,6.0,2,0.9686111111111111,Application Support
TCK-00013,2025-04-05 02:59:00,2025-04-05 12:02:09,Resolved,Critical,Request,Access Management,Mexico,AMER,25.5475,-101.3114,14,Permission / Role Errors,0.99,High,2025-04-05 04:02:08,Agent_039,Helpdesk,Within SLA,No,Cannot Reproduce,Procurement,CUST-1127,Phone,User unable to access Email Gateway due to permission/role issue.,"new-user, firewall",Email Gateway,,2,Tablet,iOS,Issue resolved via cannot reproduce.,0.0,4,1.0522222222222222,Access Management
TCK-00014,2025-09-30 07:32:00,2025-10-07 23:35:32,Closed,Low,Request,Performance,Philippines,APAC,11.0804,121.8616,12,Slow Response Times,0.883,High,2025-09-30 10:00:04,Agent_008,Cloud Ops,Within SLA,No,No Fix Needed,Operations,CUST-3950,Portal,User reported significant slowdown while using Cloud Storage.,firewall,Cloud Storage,,1,Server,Linux,Issue resolved via no fix needed.,7.0,1,2.4677777777777776,Network Support
TCK-00015,2025-02-20 21:57:00,2025-02-25 06:12:19,Resolved,Low,Incident,Performance,USA,AMER,39.0231,-98.0719,7,Performance Degradation,0.911,High,2025-02-21 00:56:26,Agent_033,Infrastructure Team,Within SLA,No,User Error,HR,CUST-3660,Portal,User reported significant slowdown while using Email Gateway.,"outage, upgrade",Email Gateway,,0,Tablet,Windows,Issue resolved via user error.,4.0,1,2.9905555555555554,Network Support
TCK-00016,2025-05-04 09:29:00,2025-05-10 05:24:28,Resolved,Low,Request,Software,UAE,EMEA,24.1071,54.9805,15,Patch & Update Failures,0.99,High,2025-05-04 11:12:47,Agent_011,Helpdesk,Within SLA,No,Cannot Reproduce,Finance,CUST-2150,Email,Installation or update issue reported for HR Self-Service.,"new-user, license",HR Self-Service,,0,Server,Linux,Issue resolved via cannot reproduce.,5.0,1,1.7297222222222222,Application Support
TCK-00017,2025-07-11 04:21:00,,In Progress,Critical,Incident,Access Management,Brazil,AMER,-16.2706,-53.5157,14,Permission / Role Errors,0.99,High,2025-07-11 04:32:10,Agent_016,Helpdesk,Breached,No,Pending,Finance,CUST-4356,Email,User unable to access VPN Client due to permission/role issue.,vip-customer,VPN Client,0,0,Tablet,iOS,No Resolution Yet,,4,0.18611111111111112,Access Management
